"","near_the_big_cell","x_center_big_cell","y_center_big_cell","x_center_cell","y_center_cell","x_TRUE","y_TRUE","rh98","canopy_cover","fire_freq","mean_precip","mean_temp","ecoregion","fire_freq_NA","densite_pop"
"2367",3,-10.1287855519739,18.5864494722797,-9.4915696651592,17.9774544167201,-9.48059492977645,17.9988696114398,2.91874998807907,0,0,52.6722323338526,29.3944641113281,"Sahelian_Acacia_savanna",1,0.078140750527382
"2368",9,6.65735842590433,18.5864494722797,6.76863192815313,17.9774544167201,6.73848752500138,17.9988696114398,2.27999997138977,0,0,31.1022247537553,28.5919738769531,"Sahelian_Acacia_savanna",1,0.304685324430466
"2369",3,-10.1287855519739,18.5864494722797,-9.67426855946608,17.9774544167201,-9.70068217438574,17.9966238232295,2.93625000119209,0.000412499997765,0,54.3222515687693,29.4203430175781,"Sahelian_Acacia_savanna",1,0.020684316754341
"2370",8,3.85966776292462,18.5864494722797,3.84544961924305,17.9774544167201,3.83243758087475,17.9966238232295,2.70916664931509,0,0,106.973627939546,28.5726867675781,"Sahelian_Acacia_savanna",1,0
"2371",8,3.85966776292462,18.5864494722797,4.39354630216369,17.9774544167201,4.43206303302453,17.9966238232295,2.42833334491367,0,0,138.488518185585,28.61025390625,"Sahelian_Acacia_savanna",1,0.362720638513565
"2372",9,6.65735842590433,18.5864494722797,5.30704077369809,17.9774544167201,5.32364095251315,17.9966238232295,2.43914286749704,0,0,115.342405444329,28.7305847167969,"Sahelian_Acacia_savanna",1,0.29017648100853
"2373",9,6.65735842590433,18.5864494722797,6.58593303384625,17.9774544167201,6.55882446817748,17.9966238232295,2.25166666507721,0,0,48.8238422618712,28.5919738769531,"Sahelian_Acacia_savanna",1,0.237219303846359
"2374",9,6.65735842590433,18.5864494722797,7.68212639968753,17.9774544167201,7.67273542048568,17.9966238232295,2.46875002980232,0,0,119.495169169959,28.8322082519531,"Sahelian_Acacia_savanna",1,0.296705454587936
"2375",9,6.65735842590433,18.5864494722797,6.03783635092561,17.9774544167201,6.02432687412637,17.9943780350192,2.3199999332428,0,0,72.2058381570254,28.6304870605469,"Sahelian_Acacia_savanna",1,0.309038013219833
"2376",7,1.0619770999449,18.5864494722797,-0.173926055508311,17.9774544167201,-0.207735409452766,17.9921322468089,2.53249996900559,0,0,107.924809203698,29.2401977539063,"Sahelian_Acacia_savanna",1,0.318020790815353
"2377",7,1.0619770999449,18.5864494722797,2.20115957048113,17.9774544167201,2.18402903451544,17.9921322468089,2.55999994277954,0,0,96.4317151029048,28.90859375,"Sahelian_Acacia_savanna",1,0.104151822626591
"2378",8,3.85966776292462,18.5864494722797,3.48005183062929,17.9774544167201,3.45963673796515,17.9921322468089,2.35166660944621,0,0,98.9214580228528,28.5232177734375,"Sahelian_Acacia_savanna",1,0
"2379",6,-1.73571356303481,18.5864494722797,-1.27011942134959,17.9774544167201,-1.29245111502708,17.9898864585986,2.9475000500679,0,0,124.777668108623,29.9123474121094,"Sahelian_Acacia_savanna",1,0.079505197703838
"2380",3,-10.1287855519739,18.5864494722797,-9.85696745377296,17.9774544167201,-9.82869210237277,17.9831490939677,2.81374999880791,0,0,55.1024065660389,29.4368835449219,"Sahelian_Acacia_savanna",1,0.082737267017365
"2381",8,3.85966776292462,18.5864494722797,4.94164298508433,17.9774544167201,4.98452693275803,17.9831490939677,2.35666660467784,0,0,137.454816382858,28.6582885742188,"Sahelian_Acacia_savanna",1,0.29017648100853
