"","x","y","dupe_count","rh98","canopy_cover","fire_freq","mean_precip","mean_temp","ecoregion","fire_freq_NA"
"377",-14.1203933722537,12.9705498085807,2,3.31199994087219,0.00110999997705221,0.263157904148102,948.048315799682,28.746728515625,"Guinean_forest-savanna",FALSE
"378",-14.1203933722537,12.9705498085807,2,3.31199994087219,0.00110999997705221,0.263157904148102,948.048315799682,28.746728515625,"West_Sudanian",FALSE
"379",-14.1069186429919,12.9705498085807,2,2.45999999841054,0,0.157894730567932,948.048315799682,28.746728515625,"Guinean_forest-savanna",FALSE
"380",-14.1069186429919,12.9705498085807,2,2.45999999841054,0,0.157894730567932,948.048315799682,28.746728515625,"West_Sudanian",FALSE
"381",-14.1046728547816,12.9705498085807,2,3.58500001430511,0.00674690008163452,0.105263158679008,948.048315799682,28.746728515625,"Guinean_forest-savanna",FALSE
"382",-14.1046728547816,12.9705498085807,2,3.58500001430511,0.00674690008163452,0.105263158679008,948.048315799682,28.746728515625,"West_Sudanian",FALSE
"383",-14.1024270665713,12.9705498085807,2,4.30000019073486,0.00429200008511543,0.105263158679008,948.048315799682,28.746728515625,"Guinean_forest-savanna",FALSE
"384",-14.1024270665713,12.9705498085807,2,4.30000019073486,0.00429200008511543,0.105263158679008,948.048315799682,28.746728515625,"West_Sudanian",FALSE
"385",-14.0911981255198,12.9705498085807,2,3.6299999554952,0.0107416672011216,0.105263158679008,878.895071396912,28.746728515625,"Guinean_forest-savanna",FALSE
"386",-14.0911981255198,12.9705498085807,2,3.6299999554952,0.0107416672011216,0.105263158679008,878.895071396912,28.746728515625,"West_Sudanian",FALSE
"387",-14.0642486669963,12.9705498085807,2,4.67999982833862,0.00821799971163273,0.0526315793395042,878.895071396912,28.746728515625,"Guinean_forest-savanna",FALSE
"388",-14.0642486669963,12.9705498085807,2,4.67999982833862,0.00821799971163273,0.0526315793395042,878.895071396912,28.746728515625,"West_Sudanian",FALSE
